Supplier Name,Supplier Account,Currency,Settlement Date,Reference,ID,Issue Date,Due Date,Type,Counterparty Name,Discount ID,Activity Type,Remit Type,Remit No,Remit Date,Pay Date,Invoice Tenor,Net Amount,Gross Amount,Adj Amount,Disc Amount,PO No,Doc No,Comment,Adj Code,Add. Info.,Base Rate(%),Spread Rate(%),Discount Rate(%),Discount Tenor,CM Adjusted,CM Adjusted Net Amount,Fee,Charge,Proceeds,Add. Info.
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,MP195W200322,3/22/2020,6/22/2020,92,1753.6,1753.6,0,0,,,,,,1.22,1,2.22,73,0,1753.6,0,7.89,1745.71,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,TR8935200322,3/22/2020,6/22/2020,92,1918.72,1918.72,0,0,,,,,,1.22,1,2.22,73,0,1918.72,0,8.63,1910.09,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,JQ983S200322,3/22/2020,6/22/2020,92,1668.32,1668.32,0,0,,,,,,1.22,1,2.22,73,0,1668.32,0,7.51,1660.81,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,WB188U200322,3/22/2020,6/22/2020,92,2049.51,2049.51,0,0,,,,,,1.22,1,2.22,73,0,2049.51,0,9.22,2040.29,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,WG273N200322,3/22/2020,6/22/2020,92,2569.69,2569.69,0,0,,,,,,1.22,1,2.22,73,0,2569.69,0,11.56,2558.13,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,AA871M200322,3/22/2020,6/22/2020,92,1393.77,1393.77,0,0,,,,,,1.22,1,2.22,73,0,1393.77,0,6.27,1387.5,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,AH305Q200322,3/22/2020,6/22/2020,92,1809.81,1809.81,0,0,,,,,,1.22,1,2.22,73,0,1809.81,0,8.14,1801.67,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,DP3026200322,3/22/2020,6/22/2020,92,2659.03,2659.03,0,0,,,,,,1.22,1,2.22,73,0,2659.03,0,11.97,2647.06,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,SM242N200322,3/22/2020,6/22/2020,92,2406.19,2406.19,0,0,,,,,,1.22,1,2.22,73,0,2406.19,0,10.83,2395.36,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,KK021C200322,3/22/2020,6/22/2020,92,2268.59,2268.59,0,0,,,,,,1.22,1,2.22,73,0,2268.59,0,10.21,2258.38,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,DG186U200322,3/22/2020,6/22/2020,92,1578.72,1578.72,0,0,,,,,,1.22,1,2.22,73,0,1578.72,0,7.1,1571.62,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_18,51319488,4/9/2020,6/22/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,MS812M200322,3/22/2020,6/22/2020,92,2189.18,2189.18,0,0,,,,,,1.22,1,2.22,73,0,2189.18,0,9.85,2179.33,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,MP195W200329,3/29/2020,6/29/2020,92,1596.56,1596.56,0,0,,,,,,1.22,1,2.22,80,0,1596.56,0,7.87,1588.69,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,GG135M200329,3/29/2020,6/29/2020,92,2910.76,2910.76,0,0,,,,,,1.22,1,2.22,80,0,2910.76,0,14.35,2896.41,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,JB453N200329,3/29/2020,6/29/2020,92,513.89,513.89,0,0,,,,,,1.22,1,2.22,80,0,513.89,0,2.53,511.36,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,WG273N200329,3/29/2020,6/29/2020,92,2580.31,2580.31,0,0,,,,,,1.22,1,2.22,80,0,2580.31,0,12.72,2567.59,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,TR8935200329,3/29/2020,6/29/2020,92,1593.58,1593.58,0,0,,,,,,1.22,1,2.22,80,0,1593.58,0,7.86,1585.72,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,SH0853200329,3/29/2020,6/29/2020,92,1229.39,1229.39,0,0,,,,,,1.22,1,2.22,80,0,1229.39,0,6.06,1223.33,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,BB518J200329,3/29/2020,6/29/2020,92,1181.34,1181.34,0,0,,,,,,1.22,1,2.22,80,0,1181.34,0,5.83,1175.51,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,WB188U200329,3/29/2020,6/29/2020,92,1185.63,1185.63,0,0,,,,,,1.22,1,2.22,80,0,1185.63,0,5.85,1179.78,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,DP3026200329,3/29/2020,6/29/2020,92,2660.6,2660.6,0,0,,,,,,1.22,1,2.22,80,0,2660.6,0,13.12,2647.48,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,DW3564200329,3/29/2020,6/29/2020,92,1908.22,1908.22,0,0,,,,,,1.22,1,2.22,80,0,1908.22,0,9.41,1898.81,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,EP7683200329,3/29/2020,6/29/2020,92,1664.68,1664.68,0,0,,,,,,1.22,1,2.22,80,0,1664.68,0,8.21,1656.47,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,JO588X200329,3/29/2020,6/29/2020,92,2457.72,2457.72,0,0,,,,,,1.22,1,2.22,80,0,2457.72,0,12.12,2445.6,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,CV854H200329,3/29/2020,6/29/2020,92,2790.99,2790.99,0,0,,,,,,1.22,1,2.22,80,0,2790.99,0,13.76,2777.23,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,SM242N200329,3/29/2020,6/29/2020,92,2400.71,2400.71,0,0,,,,,,1.22,1,2.22,80,0,2400.71,0,11.84,2388.87,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,KG2728200329,3/29/2020,6/29/2020,92,2280.4,2280.4,0,0,,,,,,1.22,1,2.22,80,0,2280.4,0,11.24,2269.16,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,KK021C200329,3/29/2020,6/29/2020,92,2112.88,2112.88,0,0,,,,,,1.22,1,2.22,80,0,2112.88,0,10.42,2102.46,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_19,51319489,4/9/2020,6/29/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,MS812M200329,3/29/2020,6/29/2020,92,1748.04,1748.04,0,0,,,,,,1.22,1,2.22,80,0,1748.04,0,8.62,1739.42,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RK0077200405,4/5/2020,7/6/2020,92,1768.68,1768.68,0,0,,,,,,1.22,1,2.22,87,0,1768.68,0,9.48,1759.2,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RP6150200405,4/5/2020,7/6/2020,92,1019.99,1019.99,0,0,,,,,,1.22,1,2.22,87,0,1019.99,0,5.47,1014.52,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RJ5763200405,4/5/2020,7/6/2020,92,2197.65,2197.65,0,0,,,,,,1.22,1,2.22,87,0,2197.65,0,11.78,2185.87,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RJ8631200405,4/5/2020,7/6/2020,92,1654.14,1654.14,0,0,,,,,,1.22,1,2.22,87,0,1654.14,0,8.87,1645.27,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RL3857200405,4/5/2020,7/6/2020,92,1811.6,1811.6,0,0,,,,,,1.22,1,2.22,87,0,1811.6,0,9.71,1801.89,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RL5723200405,4/5/2020,7/6/2020,92,1708.11,1708.11,0,0,,,,,,1.22,1,2.22,87,0,1708.11,0,9.16,1698.95,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RP6626200405,4/5/2020,7/6/2020,92,1806.22,1806.22,0,0,,,,,,1.22,1,2.22,87,0,1806.22,0,9.69,1796.53,
AMERIT FLEET SOLUTIONS INC,1769959401,USD,4/10/2020,1716996_20,51319490,4/9/2020,7/6/2020,PAYMENT NOTIFICATION,AT AND T,7258538,DISCOUNT,IV,RR260Q200405,4/5/2020,7/6/2020,92,1851.2,1851.2,0,0,,,,,,1.22,1,2.22,87,0,1851.2,0,9.93,1841.27,
